127.0.0.1 - - [08/Jun/2020 23:05:50] POST /upload.html HTTP/1.1 200
127.0.0.1 - - [08/Jun/2020 23:05:54] POST /login.html HTTP/1.1 200
127.0.0.1 - - [08/Jun/2020 23:07:16] GET / HTTP/1.1 200
127.0.0.1 - - [08/Jun/2020 23:07:16] GET / HTTP/1.1 404
127.0.0.1 - - [08/Jun/2020 23:07:16] GET /favicon.ico HTTP/1.1 404
127.0.0.1 - - [08/Jun/2020 23:07:16] GET /favicon.ico HTTP/1.1 404
127.0.0.1 - - [08/Jun/2020 23:07:16] GET /favicon.ico HTTP/1.1 404
127.0.0.1 - - [08/Jun/2020 23:07:34] GET /hello.html HTTP/1.1 200
127.0.0.1 - - [08/Jun/2020 23:07:34] GET /hello.html HTTP/1.1 404
127.0.0.1 - - [08/Jun/2020 23:07:34] GET /favicon.ico HTTP/1.1 404
127.0.0.1 - - [08/Jun/2020 23:07:34] GET /favicon.ico HTTP/1.1 404
127.0.0.1 - - [08/Jun/2020 23:09:10] GET / HTTP/1.1 200
127.0.0.1 - - [08/Jun/2020 23:09:10] GET / HTTP/1.1 404
127.0.0.1 - - [08/Jun/2020 23:09:10] GET /favicon.ico HTTP/1.1 404
127.0.0.1 - - [08/Jun/2020 23:09:10] GET /favicon.ico HTTP/1.1 404
127.0.0.1 - - [08/Jun/2020 23:09:10] GET /favicon.ico HTTP/1.1 404
127.0.0.1 - - [08/Jun/2020 23:09:33] GET / HTTP/1.1 200
127.0.0.1 - - [08/Jun/2020 23:09:33] GET /favicon.ico HTTP/1.1 404
127.0.0.1 - - [08/Jun/2020 23:10:22] GET /hello.html HTTP/1.1 200
